Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug
j755,0,45.0,0,Naftisol
s565,0,45.0,0,Stelasyn
a366,0,45.0,0,Stelasyn
p387,0,45.0,0,Stelasyn
b879,0,45.0,0,Stelasyn
i901,0,45.0,0,Stelasyn
k862,0,45.0,0,Stelasyn
g867,0,45.0,0,Stelasyn
s619,0,45.0,0,Stelasyn
w697,0,45.0,0,Stelasyn
j984,0,45.0,0,Stelasyn
c402,0,45.0,0,Stelasyn
h333,0,45.0,0,Stelasyn
k510,0,45.0,0,Stelasyn
p981,0,45.0,0,Stelasyn
t451,0,45.0,0,Stelasyn
a963,0,45.0,0,Stelasyn
m269,0,45.0,0,Stelasyn
g989,0,45.0,0,Stelasyn
g989,0,45.0,0,Propriva
z314,0,45.0,0,Stelasyn
o848,0,45.0,0,Stelasyn
v719,0,45.0,0,Infubinol
q597,0,45.0,0,Ramicane
c895,0,45.0,0,Infubinol
a203,0,45.0,0,Infubinol
f394,0,45.0,0,Zoniferol
c264,0,45.0,0,Zoniferol
n967,0,45.0,0,Zoniferol
f545,0,45.0,0,Zoniferol
k894,0,45.0,0,Zoniferol
k754,0,45.0,0,Zoniferol
g296,0,45.0,0,Zoniferol
d164,0,45.0,0,Zoniferol
w575,0,45.0,0,Zoniferol
x613,0,45.0,0,Zoniferol
q633,0,45.0,0,Zoniferol
b313,0,45.0,0,Zoniferol
f129,0,45.0,0,Zoniferol
j365,0,45.0,0,Zoniferol
p136,0,45.0,0,Zoniferol
c559,0,45.0,0,Zoniferol
a788,0,45.0,0,Zoniferol
s337,0,45.0,0,Zoniferol
q511,0,45.0,0,Zoniferol
m331,0,45.0,0,Zoniferol
o926,0,45.0,0,Zoniferol
d133,0,45.0,0,Zoniferol
n630,0,45.0,0,Propriva
g989,0,45.0,0,Stelasyn
g989,0,45.0,0,Propriva
a401,0,45.0,0,Zoniferol
w350,0,45.0,0,Propriva
c302,0,45.0,0,Zoniferol
a897,0,45.0,0,Placebo
j235,0,45.0,0,Placebo
q787,0,45.0,0,Placebo
a262,0,45.0,0,Placebo
r850,0,45.0,0,Placebo
i669,0,45.0,0,Placebo
n763,0,45.0,0,Placebo
s152,0,45.0,0,Placebo
c766,0,45.0,0,Placebo
e227,0,45.0,0,Placebo
c282,0,45.0,0,Placebo
v989,0,45.0,0,Placebo
w140,0,45.0,0,Zoniferol
v409,0,45.0,0,Placebo
l872,0,45.0,0,Placebo
o795,0,45.0,0,Placebo
y478,0,45.0,0,Placebo
q582,0,45.0,0,Placebo
s166,0,45.0,0,Placebo
x773,0,45.0,0,Placebo
w167,0,45.0,0,Placebo
t718,0,45.0,0,Placebo
o302,0,45.0,0,Placebo
i477,0,45.0,0,Placebo
c757,0,45.0,0,Placebo
t994,0,45.0,0,Placebo
p310,0,45.0,0,Propriva
a699,0,45.0,0,Propriva
k603,0,45.0,0,Propriva
x822,0,45.0,0,Ceftamin
l558,0,45.0,0,Ceftamin
l733,0,45.0,0,Ceftamin
f436,0,45.0,0,Ceftamin
l490,0,45.0,0,Ceftamin
b759,0,45.0,0,Ceftamin
l471,0,45.0,0,Ceftamin
y865,0,45.0,0,Ceftamin
y769,0,45.0,0,Ceftamin
l661,0,45.0,0,Ceftamin
j296,0,45.0,0,Ceftamin
u149,0,45.0,0,Ceftamin
u153,0,45.0,0,Ceftamin
w151,0,45.0,0,Ceftamin
h531,0,45.0,0,Ceftamin
a685,0,45.0,0,Infubinol
o813,0,45.0,0,Infubinol
m756,0,45.0,0,Infubinol
n671,0,45.0,0,Infubinol
s121,0,45.0,0,Infubinol
v766,0,45.0,0,Infubinol
w193,0,45.0,0,Infubinol
e476,0,45.0,0,Infubinol
w584,0,45.0,0,Infubinol
b447,0,45.0,0,Ceftamin
k210,0,45.0,0,Ceftamin
a275,0,45.0,0,Ceftamin
x581,0,45.0,0,Ceftamin
n482,0,45.0,0,Propriva
t198,0,45.0,0,Propriva
l215,0,45.0,0,Propriva
s141,0,45.0,0,Propriva
o523,0,45.0,0,Propriva
i635,0,45.0,0,Propriva
w746,0,45.0,0,Propriva
r107,0,45.0,0,Propriva
s187,0,45.0,0,Propriva
g570,0,45.0,0,Propriva
x209,0,45.0,0,Propriva
x111,0,45.0,0,Propriva
z435,0,45.0,0,Propriva
n678,0,45.0,0,Propriva
g558,0,45.0,0,Propriva
u946,0,45.0,0,Propriva
o562,0,45.0,0,Propriva
v991,0,45.0,0,Propriva
c927,0,45.0,0,Propriva
x226,0,45.0,0,Ceftamin
p438,0,45.0,0,Ceftamin
b487,0,45.0,0,Ceftamin
o287,0,45.0,0,Ceftamin
q483,0,45.0,0,Ceftamin
t573,0,45.0,0,Ceftamin
f345,0,45.0,0,Infubinol
i334,0,45.0,0,Ramicane
l264,0,45.0,0,Ketapril
j246,0,45.0,0,Capomulin
r554,0,45.0,0,Capomulin
s185,0,45.0,0,Capomulin
b742,0,45.0,0,Capomulin
x401,0,45.0,0,Capomulin
l509,0,45.0,0,Capomulin
s710,0,45.0,0,Capomulin
r157,0,45.0,0,Capomulin
u364,0,45.0,0,Capomulin
j119,0,45.0,0,Capomulin
v923,0,45.0,0,Capomulin
w914,0,45.0,0,Capomulin
i738,0,45.0,0,Capomulin
r944,0,45.0,0,Capomulin
y793,0,45.0,0,Capomulin
g316,0,45.0,0,Capomulin
g288,0,45.0,0,Capomulin
l897,0,45.0,0,Capomulin
w150,0,45.0,0,Capomulin
t565,0,45.0,0,Capomulin
i557,0,45.0,0,Capomulin
m957,0,45.0,0,Capomulin
f966,0,45.0,0,Capomulin
m601,0,45.0,0,Capomulin
a275,5,46.795257280600005,0,Ceftamin
w575,5,48.9138597737,1,Zoniferol
x822,5,45.671104424700005,1,Ceftamin
l509,5,45.8511928534,0,Capomulin
n304,5,46.431216293199995,0,Naftisol
d164,5,46.617670614,0,Zoniferol
l897,5,45.462243267299996,0,Capomulin
l558,5,45.809088816199996,0,Ceftamin
g296,5,46.593233366499994,0,Zoniferol
c458,5,45.7222794933,0,Ramicane
a401,5,46.1119859138,0,Zoniferol
l700,5,45.918371650699996,0,Naftisol
f234,5,47.3134906249,0,Stelasyn
x613,5,46.0970405801,0,Zoniferol
u149,5,45.7920679201,0,Ceftamin
k210,5,47.918997705600006,0,Ceftamin
x402,5,46.327570271099994,1,Stelasyn
q610,5,45.6294942066,0,Ramicane
x581,5,47.1969265953,0,Ceftamin
a492,5,46.40914338899999,0,Stelasyn
m133,5,46.621301269700005,0,Naftisol
l725,5,48.7363188117,1,Naftisol
q633,5,47.1838021471,0,Zoniferol
f129,5,47.0005939912,0,Zoniferol
q483,5,46.7768162388,1,Ceftamin
a444,5,44.0059748662,0,Ramicane
v835,5,47.1560107135,0,Naftisol
r604,5,47.067744482399995,1,Naftisol
f394,5,47.0330996326,0,Zoniferol
y865,5,46.7350059228,1,Ceftamin
d251,5,41.746354951,1,Ramicane
b313,5,47.154432544799995,0,Zoniferol
y769,5,46.4226517593,1,Ceftamin
z234,5,46.129357058500005,1,Naftisol
b559,5,47.409897307,0,Naftisol
f993,5,46.3957596587,0,Naftisol
q119,5,47.864440003199995,0,Ketapril
j989,5,45.6207183526,1,Ramicane
w150,5,39.2021289432,0,Capomulin
n923,5,45.8248809938,0,Ketapril
y449,5,45.8775449377,0,Ramicane
l661,5,46.2687990432,0,Ceftamin
c302,5,47.690679858500005,1,Zoniferol
c264,5,45.79170389350001,0,Zoniferol
l471,5,46.251872037700004,0,Ceftamin
x930,5,46.078233754799996,0,Naftisol
k754,5,45.727760403699996,0,Zoniferol
f436,5,46.3707975921,1,Ceftamin
v295,5,46.111817974,1,Naftisol
j913,5,44.01490022,0,Ramicane
s710,5,43.1809773956,0,Capomulin
z969,5,49.3329987284,0,Naftisol
k894,5,47.645686743999995,0,Zoniferol
l490,5,45.6125391753,1,Ceftamin
b759,5,48.0091904896,0,Ceftamin
a411,5,45.466677143000005,0,Ramicane
f545,5,46.5658126328,0,Zoniferol
o725,5,46.88982097939999,0,Naftisol
y601,5,48.4750027309,1,Naftisol
w914,5,45.893720323900006,0,Capomulin
n967,5,46.077191731300005,1,Zoniferol
l733,5,46.174226268199995,0,Ceftamin
m601,5,41.408591450100005,1,Capomulin
b487,5,46.2139773932,0,Ceftamin
o287,5,45.5868036213,0,Ceftamin
p310,5,46.55853236229999,1,Propriva
r107,5,48.513420271499996,0,Propriva
s565,5,48.2425521816,0,Stelasyn
w350,5,48.232113105,0,Propriva
s187,5,47.576717609300005,1,Propriva
j984,5,48.4107210949,1,Stelasyn
w697,5,48.3018226056,1,Stelasyn
j755,5,47.242843570299996,0,Naftisol
g570,5,47.6564243575,1,Propriva
u364,5,45.760886472799996,1,Capomulin
x209,5,46.7542688725,0,Propriva
c402,5,49.3426301024,1,Stelasyn
b742,5,41.5340970177,0,Capomulin
n630,5,46.0990996926,0,Propriva
g989,5,48.786801463500005,0,Stelasyn
g989,5,48.786801463500005,0,Propriva
e213,5,45.699250182600004,1,Naftisol
a366,5,48.9513677307,0,Stelasyn
w746,5,49.4532700546,0,Propriva
s141,5,45.8311343446,0,Propriva
i901,5,46.493023919399995,0,Stelasyn
t198,5,47.461260521999996,0,Propriva
b879,5,49.1561562774,1,Stelasyn
k603,5,46.042115822700005,0,Propriva
o523,5,45.5447000844,0,Propriva
v923,5,45.7044343138,0,Capomulin
f966,5,38.7964737318,0,Capomulin
p387,5,48.6676307472,0,Stelasyn
g867,5,46.8807491586,0,Stelasyn
i635,5,47.235937153100004,0,Propriva
s619,5,46.6022687751,0,Stelasyn
a699,5,46.55308985520001,0,Propriva
q132,5,46.7163985039,1,Infubinol
k862,5,49.2030578603,0,Stelasyn
h333,5,45.75172728020001,0,Stelasyn
x401,5,45.4737530157,0,Capomulin
o926,5,46.7611637314,0,Zoniferol
c927,5,46.3518420477,0,Propriva
c559,5,46.562637930200005,0,Zoniferol
r701,5,46.886971367,0,Naftisol
j119,5,45.8389978688,0,Capomulin
p438,5,46.82793417680001,0,Ceftamin
m269,5,49.0111800953,0,Stelasyn
a963,5,46.23350580859999,0,Stelasyn
p136,5,49.273970958999996,0,Zoniferol
t724,5,46.359258294300005,0,Naftisol
g989,5,47.5703920761,0,Stelasyn
g989,5,47.5703920761,0,Propriva
z314,5,45.934712167,0,Stelasyn
a818,5,45.696708639499995,0,Naftisol
v764,5,47.0541847448,0,Stelasyn
j365,5,46.7112610998,0,Zoniferol
i557,5,42.261665299899995,0,Capomulin
x264,5,47.0384145045,0,Naftisol
v991,5,49.21432799,1,Propriva
a788,5,47.0065802437,0,Zoniferol
x111,5,46.94101497729999,1,Propriva
k510,5,46.6084671022,0,Stelasyn
z435,5,47.1159796322,0,Propriva
e584,5,45.656978496,0,Naftisol
m331,5,45.5230137147,1,Zoniferol
n678,5,47.55428428729999,0,Propriva
p981,5,47.000627172799994,0,Stelasyn
g558,5,46.18874192770001,0,Propriva
e291,5,46.1425048634,0,Naftisol
q511,5,45.8326537772,0,Zoniferol
u946,5,45.991807800100005,1,Propriva
z795,5,46.833474934799995,0,Naftisol
t451,5,48.0471388219,0,Stelasyn
s337,5,46.8498515661,0,Zoniferol
o562,5,46.5149501609,1,Propriva
w540,5,45.8853703831,1,Stelasyn
w140,5,47.71795156060001,0,Zoniferol
l215,5,49.481949353199994,1,Propriva
y793,5,41.019913149699995,0,Capomulin
n763,5,46.0859814231,0,Placebo
a203,5,48.508468400699996,0,Infubinol
w584,5,46.0519307545,0,Infubinol
y163,5,48.284970156199996,0,Infubinol
o973,5,46.7178772684,0,Ketapril
o795,5,46.760927208000005,1,Placebo
w422,5,48.45745927270001,0,Ketapril
e662,5,45.8162825207,0,Ramicane
g791,5,45.8515306212,0,Ramicane
c580,5,46.628454796999996,0,Ketapril
e476,5,47.11180112979999,0,Infubinol
k483,5,46.6110557083,0,Infubinol
y478,5,48.6410781799,1,Placebo
i669,5,46.7646682399,1,Placebo
d474,5,45.9183522533,0,Ketapril
w193,5,45.4938580222,0,Infubinol
q582,5,45.9553989471,1,Placebo
s166,5,47.1867877757,0,Placebo
o331,5,47.0596640836,1,Ketapril
k382,5,46.274997348,1,Ketapril
k804,5,48.2662036417,0,Infubinol
r850,5,46.8629119373,0,Placebo
g316,5,44.022752456499994,0,Capomulin
v766,5,48.1512509146,1,Infubinol
g497,5,48.782068780799996,0,Ketapril
a520,5,38.7237069501,0,Ramicane
x773,5,45.850830700500005,1,Placebo
m550,5,49.0540973629,1,Ketapril
t994,5,47.8914870979,0,Placebo
n364,5,45.5218747106,0,Ramicane
l264,5,46.6687664579,0,Ketapril
e227,5,47.238011122799996,0,Placebo
c326,5,49.3402031759,0,Infubinol
r157,5,45.5970635931,0,Capomulin
c766,5,47.3130553707,0,Placebo
v719,5,47.1883632534,0,Infubinol
w678,5,43.1663726574,0,Ramicane
c139,5,48.7531120759,0,Infubinol
m546,5,42.9988763811,0,Ramicane
v339,5,46.2501121227,0,Infubinol
s152,5,47.459052900299994,1,Placebo
m650,5,48.5624949203,1,Ketapril
c282,5,45.725689726400006,0,Placebo
v989,5,48.858134512700005,0,Placebo
r944,5,45.7371448423,0,Capomulin
r554,5,45.781745793,1,Capomulin
c895,5,45.47754399,0,Infubinol
v409,5,46.2207964218,0,Placebo
u196,5,45.5574644428,1,Ramicane
c832,5,48.6854612346,1,Ketapril
v289,5,46.204460026999996,0,Ketapril
a897,5,45.6911240483,1,Placebo
f345,5,45.5911466041,0,Infubinol
s508,5,38.7118718494,0,Ramicane
a577,5,46.1977199027,1,Infubinol
z578,5,42.1887866197,0,Ramicane
i177,5,44.0653978295,0,Ramicane
a644,5,45.5501575368,0,Ramicane
c757,5,47.7832798083,0,Placebo
s185,5,43.878495686099996,0,Capomulin
i738,5,45.595685269899995,0,Capomulin
m756,5,47.0103640056,1,Infubinol
o813,5,45.699330877799994,0,Infubinol
j246,5,45.6414378763,0,Capomulin
a685,5,46.870482556800006,0,Infubinol
r811,5,45.62580225399999,0,Ramicane
h246,5,49.470417015100004,0,Ketapril
q597,5,45.766111039799995,0,Ramicane
a251,5,46.9821271904,0,Infubinol
q787,5,47.1166158739,0,Placebo
c758,5,45.5786783011,0,Ramicane
u327,5,45.694188046099995,0,Ketapril
t565,5,45.8956472045,0,Capomulin
c819,5,45.769248642200004,1,Ketapril
o302,5,48.9370118777,0,Placebo
h531,5,47.78468180350001,0,Ceftamin
i477,5,46.6573847087,0,Placebo
w151,5,45.5460759472,1,Ceftamin
y260,5,46.79983867,0,Ketapril
r921,5,45.56821082850001,0,Ramicane
a457,5,47.46289099770001,0,Ketapril
j296,5,46.799255907299994,1,Ceftamin
w167,5,48.786271943500005,0,Placebo
a262,5,48.717568191000005,1,Placebo
b128,5,45.6513313083,0,Capomulin
n671,5,47.3538893818,0,Infubinol
g288,5,45.839399762700005,0,Capomulin
v603,5,46.0160059345,0,Ketapril
i334,5,41.0205182104,0,Ramicane
k403,5,38.8258980681,0,Ramicane
p189,5,49.048707041499995,1,Ketapril
o809,5,46.8772431606,0,Infubinol
g107,5,48.791664955200005,0,Ketapril
t718,5,45.9212527234,1,Placebo
i386,5,46.853696687399996,1,Infubinol
s121,5,45.6356617442,1,Infubinol
z581,5,49.273091866,1,Infubinol
f278,5,48.1945778805,0,Ketapril
j235,5,46.588819783599995,0,Placebo
m957,5,45.622381489700004,1,Capomulin
e291,10,48.5297412455,1,Naftisol
u946,10,46.7305059208,1,Propriva
g558,10,50.0947538217,0,Propriva
i386,10,49.8615473917,2,Infubinol
e584,10,47.2506414788,0,Naftisol
o523,10,47.0810859034,1,Propriva
i635,10,48.6857560472,1,Propriva
b879,10,50.3389458287,1,Stelasyn
u327,10,49.2352594778,0,Ketapril
n678,10,49.1457086645,1,Propriva
r554,10,39.0054934991,2,Capomulin
z435,10,48.7106614712,0,Propriva
s565,10,52.7775270975,0,Stelasyn
g497,10,49.6470864981,0,Ketapril
s187,10,48.14635120649999,1,Propriva
o809,10,48.6707318029,0,Infubinol
z581,10,50.478750159099995,2,Infubinol
r107,10,49.1860105163,0,Propriva
k804,10,49.471244186199996,0,Infubinol
a366,10,53.523990068500005,0,Stelasyn
j755,10,48.167060829499995,0,Naftisol
g570,10,49.1882316674,1,Propriva
d474,10,46.974962972700006,0,Ketapril
c832,10,49.8114126213,1,Ketapril
x209,10,48.929895429700004,0,Propriva
u364,10,46.5684171913,2,Capomulin
k483,10,50.2960412296,1,Infubinol
o973,10,48.2457904318,0,Ketapril
y163,10,49.112399097700006,1,Infubinol
e213,10,47.39157120229999,2,Naftisol
a251,10,48.5911790054,1,Infubinol
p387,10,53.362962941000006,0,Stelasyn
v923,10,39.848223284899994,0,Capomulin
x111,10,49.1229689833,1,Propriva
a577,10,49.509638899399995,1,Infubinol
g288,10,46.3040025385,1,Capomulin
v603,10,47.830556800699995,0,Ketapril
c139,10,49.99295390939999,0,Infubinol
j296,10,48.529977621099995,2,Ceftamin
o331,10,50.12845481430001,1,Ketapril
b759,10,49.1333549892,0,Ceftamin
l490,10,47.2596059376,1,Ceftamin
z969,10,52.6560814792,1,Naftisol
n671,10,51.0393565292,0,Infubinol
g107,10,53.435986676400006,0,Ketapril
v835,10,48.9659179711,0,Naftisol
s710,10,43.6880262658,0,Capomulin
s121,10,49.0488347855,1,Infubinol
f436,10,48.146977582,2,Ceftamin
r604,10,48.7865595745,1,Naftisol
l733,10,48.3549515398,0,Ceftamin
l509,10,46.7590736347,0,Capomulin
y260,10,48.0818067794,1,Ketapril
v766,10,50.3631098827,1,Infubinol
n304,10,47.201250968400004,0,Naftisol
a457,10,49.7834189373,0,Ketapril
l558,10,46.7845349065,0,Ceftamin
o725,10,48.199451995100006,0,Naftisol
c819,10,46.6583952671,1,Ketapril
i738,10,43.4210141409,0,Capomulin
n923,10,48.791949861499994,1,Ketapril
p189,10,51.582161675600005,2,Ketapril
q119,10,51.236605572399995,0,Ketapril
l661,10,49.6836195618,0,Ceftamin
f993,10,48.1853732268,0,Naftisol
m957,10,46.4145177047,1,Capomulin
h246,10,51.3688621605,1,Ketapril
w151,10,46.501476088500006,1,Ceftamin
y769,10,48.015162605600004,1,Ceftamin
y865,10,49.5227395512,1,Ceftamin
b559,10,48.0364320179,0,Naftisol
s141,10,47.2356915575,0,Propriva
l471,10,48.182063061899996,0,Ceftamin
x930,10,50.2606944112,0,Naftisol
a685,10,47.664752644,0,Infubinol
w193,10,48.3465504575,0,Infubinol
x822,10,48.9837166792,1,Ceftamin
k382,10,50.180967626400005,1,Ketapril
v289,10,48.1334820691,0,Ketapril
b487,10,47.66438709810001,0,Ceftamin
c895,10,49.779015424499995,0,Infubinol
t724,10,50.703899650699995,0,Naftisol
j119,10,46.425365507799995,0,Capomulin
p438,10,50.5174978917,0,Ceftamin
r701,10,49.6545963593,0,Naftisol
m650,10,50.9689976283,1,Ketapril
i557,10,42.9920765835,0,Capomulin
v719,10,51.4970541179,1,Infubinol
c927,10,50.965297666800005,1,Propriva
x264,10,47.8871276545,1,Naftisol
v991,10,52.6449056961,1,Propriva
l264,10,50.6595809445,0,Ketapril
o562,10,47.1476700217,1,Propriva
f345,10,47.2224461932,0,Infubinol
a818,10,49.7909194758,0,Naftisol
o287,10,47.360200838199994,1,Ceftamin
m550,10,50.5480345687,2,Ketapril
l700,10,47.013566517700006,1,Naftisol
g316,10,44.5020424625,0,Capomulin
u149,10,47.4048343929,0,Ceftamin
e476,10,49.431685363199996,0,Infubinol
k210,10,49.3799323142,0,Ceftamin
l725,10,50.8239115379,2,Naftisol
a275,10,47.3713432827,0,Ceftamin
z795,10,48.030803902399995,0,Naftisol
c580,10,47.5701738225,1,Ketapril
m133,10,47.5033380291,0,Naftisol
w422,10,49.9359702353,0,Ketapril
x581,10,49.0670278775,1,Ceftamin
v295,10,47.539462157299994,2,Naftisol
a203,10,51.852437204,1,Infubinol
y793,10,41.6300102575,1,Capomulin
q483,10,47.8391004992,1,Ceftamin
w584,10,47.29850793600001,0,Infubinol
f966,10,35.6244026972,0,Capomulin
q132,10,47.9538437692,2,Infubinol
m269,10,50.86013006100001,0,Stelasyn
w167,10,51.8264096538,0,Placebo
m601,10,36.825366635900004,1,Capomulin
a492,10,48.432196607600005,0,Stelasyn
x773,10,47.18920597100001,2,Placebo
a401,10,47.7259374025,1,Zoniferol
i177,10,41.0209292412,0,Ramicane
s166,10,49.00012467649999,0,Placebo
q582,10,47.013575143999994,1,Placebo
w540,10,47.4590665763,1,Stelasyn
j365,10,48.3493202828,0,Zoniferol
v764,10,48.1890006167,1,Stelasyn
g791,10,40.1705584752,0,Ramicane
y478,10,52.2889340897,1,Placebo
l897,10,46.154737213699995,0,Capomulin
o795,10,51.1237037021,1,Placebo
g989,10,51.7451561314,0,Stelasyn
g989,10,51.7451561314,0,Propriva
p136,10,50.9078902812,0,Zoniferol
t451,10,48.957919057,0,Stelasyn
c282,10,48.179506376400006,0,Placebo
s337,10,47.8944414988,0,Zoniferol
m546,10,43.748223567,0,Ramicane
v989,10,52.61468889020001,1,Placebo
a788,10,50.1597213166,1,Zoniferol
a644,10,46.380712583299996,0,Ramicane
v409,10,50.649038422299995,1,Placebo
r944,10,46.5442920172,0,Capomulin
a963,10,47.1505220053,0,Stelasyn
t994,10,52.614163499200004,1,Placebo
c559,10,47.2932601213,0,Zoniferol
a520,10,36.4293878059,0,Ramicane
a444,10,44.512559514799996,0,Ramicane
u196,10,46.4229430611,1,Ramicane
e227,10,51.3497570463,1,Placebo
f129,10,48.1797190801,1,Zoniferol
t718,10,46.39268804859999,1,Placebo
n967,10,47.471723269799995,1,Zoniferol
d251,10,42.432257913200004,1,Ramicane
b313,10,48.3193721835,1,Zoniferol
f545,10,51.0725122479,0,Zoniferol
a411,10,40.759787622800005,1,Ramicane
w914,10,43.2319627458,0,Capomulin
c302,10,48.5335670388,1,Zoniferol
j989,10,46.3438323743,1,Ramicane
k894,10,49.2728701133,1,Zoniferol
y449,10,46.3780924822,0,Ramicane
w150,10,39.9523466857,0,Capomulin
j913,10,44.497162163999995,0,Ramicane
a897,10,47.972927076800005,1,Placebo
k754,10,49.746116661,0,Zoniferol
k403,10,35.014271464000004,1,Ramicane
c757,10,49.219316685200006,0,Placebo
g296,10,48.2695086075,0,Zoniferol
r921,10,42.7119269415,0,Ramicane
q633,10,49.0018655887,0,Zoniferol
t565,10,46.7490055228,0,Capomulin
r811,10,39.453902997,0,Ramicane
f234,10,47.90432375140001,0,Stelasyn
x613,10,46.8181759016,0,Zoniferol
x402,10,46.886962488100004,1,Stelasyn
o302,10,49.7014498925,0,Placebo
w575,10,50.1359554709,1,Zoniferol
c458,10,44.45437828479999,1,Ramicane
i477,10,47.5206320557,0,Placebo
c758,10,46.2879922276,0,Ramicane
d164,10,47.4746446813,1,Zoniferol
q610,10,44.9914847141,0,Ramicane
s185,10,37.6149476787,0,Capomulin
q511,10,50.3116468696,0,Zoniferol
c264,10,49.0265919617,0,Zoniferol
k862,10,50.5235500683,1,Stelasyn
n763,10,46.817315262600005,1,Placebo
h333,10,46.233844138900004,1,Stelasyn
c402,10,50.5668941174,1,Stelasyn
q787,10,48.5938623364,1,Placebo
b128,10,43.2708519028,0,Capomulin
g867,10,48.1834016703,0,Stelasyn
g989,10,49.8805278017,0,Stelasyn
g989,10,49.8805278017,0,Propriva
b742,10,41.9992281339,0,Capomulin
e662,10,46.4090838477,0,Ramicane
i669,10,48.2816334005,1,Placebo
a699,10,47.8673756864,0,Propriva
q597,10,42.5379859779,0,Ramicane
j984,10,50.14108401399999,1,Stelasyn
a262,10,49.5951812923,1,Placebo
w350,10,48.899552379700005,0,Propriva
n364,10,40.3751381982,0,Ramicane
z578,10,42.9521184289,0,Ramicane
w697,10,48.9250560049,2,Stelasyn
p310,10,48.6656066817,1,Propriva
k603,10,46.6069467587,0,Propriva
k510,10,47.658249795500005,1,Stelasyn
r850,10,48.515090853800004,1,Placebo
j235,10,48.018787924399994,1,Placebo
i901,10,50.4212498188,0,Stelasyn
s152,10,52.18164420350001,2,Placebo
o926,10,47.565673635900005,1,Zoniferol
m331,10,47.646877348800004,1,Zoniferol
x401,10,39.113890678800004,0,Capomulin
l215,10,53.6539695982,1,Propriva
j246,10,46.4083612964,0,Capomulin
s508,10,34.850997904699994,0,Ramicane
p981,10,47.5458458532,0,Stelasyn
i334,10,41.631247305900004,0,Ramicane
r157,10,46.059608267,0,Capomulin
t198,10,49.0008097751,1,Propriva
c766,10,49.5002709847,1,Placebo
q597,15,41.3956603602,0,Ramicane
l661,15,50.9475448381,1,Ceftamin
y769,15,52.761021138400004,2,Ceftamin
s185,15,38.1772319541,0,Capomulin
d251,15,39.4727874418,1,Ramicane
y865,15,50.8065185581,1,Ceftamin
